City,Population
"Coconut Creek, FL, United States",59302
"Colima, Mexico",137383
"College Station, TX, United States",107889
"Colorado Springs, CO, United States",456568
"Columbia, MD, United States",99615
"Columbia, MO, United States",119108
"Columbia, SC, United States",133803
"Columbus, GA, United States",200579
"Columbus, OH, United States",850106
"Comitán, Mexico",97537
"Compton, CA, United States",98462
"Concord, CA, United States",128667
"Concord, NC, United States",87696
"Coney Island, NY, United States",60000
"Conroe, TX, United States",68602
"Conway, AR, United States",64980
"Coon Rapids, MN, United States",62240
"Coquitlam, BC, Canada",140000
"Coral Springs, FL, United States",129485
"Corona, CA, United States",164226
"Corona, NY, United States",109698
"Corpus Christi, TX, United States",324074
"Cortazar, Mexico",61658
"Costa Mesa, CA, United States",113204
"Council Bluffs, IA, United States",62597
"Coyoacán, Mexico",620416
"Cozumel, Mexico",77236
"Cranston, RI, United States",81073
"Cuauhtémoc, Mexico",114007
"Cuautitlán Izcalli, Mexico",484573
"Cuautitlán, Mexico",108449
"Cuautla, Mexico",154358
"Cuernavaca, Mexico",338650
"Culiacán, Mexico",675773
"Cupertino, CA, United States",60572
"Dale City, VA, United States",65969
"Dallas, TX, United States",1300092
"Daly City, CA, United States",106562
"Danbury, CT, United States",84657
"Dartmouth, NS, Canada",101343
"Davenport, IA, United States",102582
"Davie, FL, United States",100882
"Davis, CA, United States",67666
"Dayton, OH, United States",140599
"Daytona Beach, FL, United States",64736
"Dearborn, MI, United States",95171
"Decatur, IL, United States",73254
"Deer Valley, AZ, United States",165656
"Deerfield Beach, FL, United States",79768
"Delegación Cuajimalpa de Morelos, Mexico",160491
"Delray Beach, FL, United States",66255
"Delta, BC, Canada",101668
"Deltona, FL, United States",88474
"Denton, TX, United States",131044
"Denver, CO, United States",682545
"Des Moines, IA, United States",210330
"Detroit, MI, United States",677116
"Dothan, AL, United States",68567
"Downey, CA, United States",114219
"Drummondville, QC, Canada",59489
"Duluth, MN, United States",86110
"Dundalk, MD, United States",63597
"Durham, NC, United States",257636
"Eagan, MN, United States",66286
"East Chattanooga, TN, United States",154024
"East Flatbush, NY, United States",178464
"East Hampton, VA, United States",147993
"East Harlem, NY, United States",115921
"East Independence, MO, United States",110675
"East Los Angeles, CA, United States",126496
"East Norwalk, CT, United States",84530
"East Orange, NJ, United States",64949
"East York, ON, Canada",115365
"Eau Claire, WI, United States",67778
"Ecatepec de Morelos, Mexico",1655015
"Eden Prairie, MN, United States",63496
"Edinburg, TX, United States",84497
"Edison, NJ, United States",102548
"Edmond, OK, United States",90092
"Edmonton, AB, Canada",712391
"El Cajon, CA, United States",103679
"El Monte, CA, United States",116732
"El Paso, TX, United States",681124
"El Pueblito, Mexico",71254
"Elgin, IL, United States",112111
"Elizabeth, NJ, United States",129007
"Elk Grove, CA, United States",166913
"Ellicott City, MD, United States",65834
"Elmhurst, NY, United States",113364
"Enchanted Hills, NM, United States",87521
"Encinitas, CA, United States",62930
"Ensenada, Mexico",279765
"Enterprise, NV, United States",108481
"Erie, PA, United States",99475
"Escondido, CA, United States",151451
"Etobicoke, ON, Canada",347948
"Eugene, OR, United States",163460
"Evanston, IL, United States",75527
"Evansville, IN, United States",119943
"Everett, WA, United States",108010
"Fairfield, CA, United States",112970
"Fall River, MA, United States",88777
"Fargo, ND, United States",118523
"Farmington Hills, MI, United States",81330
"Fayetteville, AR, United States",82830
"Fayetteville, NC, United States",201963
"Federal Way, WA, United States",95171
"Fishers, IN, United States",76794
"Flagstaff, AZ, United States",70320
"Flatbush, NY, United States",93361
"Flatlands, NY, United States",63601
"Flint, MI, United States",98310
"Florence-Graham, CA, United States",63387
"Flower Mound, TX, United States",71253
"Folsom, CA, United States",76375
"Fontana, CA, United States",207460
"Fordham, NY, United States",94678
"Forest Hills, NY, United States",67714
"Fort Collins, CO, United States",161175
"Fort Lauderdale, FL, United States",178590
"Fort McMurray, AB, Canada",76000
"Fort Myers, FL, United States",74013
"Fort Smith, AR, United States",88194
