City,Population
"Stamford, CT, United States",128874
"Staten Island, NY, United States",468730
"Sterling Heights, MI, United States",132052
"Stockton, CA, United States",305658
"Suffolk, VA, United States",88161
"Sugar Land, TX, United States",88156
"Sunnyvale, CA, United States",151754
"Sunrise Manor, NV, United States",189372
"Sunrise, FL, United States",84439
"Surprise, AZ, United States",128422
"Surrey, BC, Canada",394976
"Sydney, NS, Canada",105968
"Syracuse, NY, United States",144142
"Tacoma, WA, United States",207948
"Tallahassee, FL, United States",189907
"Tamarac, FL, United States",64681
"Tampa, FL, United States",369075
"Tampico, Mexico",309003
"Tapachula, Mexico",202672
"Taylor, MI, United States",61568
"Taylorsville, UT, United States",60514
"Túxpam de Rodríguez Cano, Mexico",84750
"Tecate, Mexico",64764
"Tecomán, Mexico",85689
"Tehuacán, Mexico",248716
"Temecula, CA, United States",112011
"Temixco, Mexico",97788
"Tempe Junction, AZ, United States",158368
"Tempe, AZ, United States",175826
"Temple, TX, United States",72277
"Tepatitlán de Morelos, Mexico",91959
"Tepexpan, Mexico",102667
"Tepic, Mexico",332863
"Terre Haute, IN, United States",60825
"Terrebonne, QC, Canada",94703
"Tesistán, Mexico",62397
"Texcoco de Mora, Mexico",105165
"The Bronx, NY, United States",1385108
"The Woodlands, TX, United States",93847
"Thornton, CO, United States",133451
"Thousand Oaks, CA, United States",129339
"Thunder Bay, ON, Canada",99334
"Tijuana, Mexico",1300983
"Tlalnepantla, Mexico",653410
"Tlalpan, Mexico",574577
"Tlaquepaque, Mexico",575942
"Tlaxcala, Mexico",84670
"Tláhuac, Mexico",305076
"Toledo, OH, United States",279789
"Toluca, Mexico",489333
"Toms River, NJ, United States",88791
"Tonalá, Mexico",408759
"Topeka, KS, United States",127265
"Toronto, ON, Canada",2600000
"Torrance, CA, United States",148475
"Torreón, Mexico",608836
"Town 'n' Country, FL, United States",78442
"Tracy, CA, United States",87075
"Trenton, NJ, United States",84225
"Trois-Rivières, QC, Canada",119693
"Troy, MI, United States",83280
"Tucson, AZ, United States",531641
"Tulancingo, Mexico",102406
"Tulare, CA, United States",62315
"Tulsa, OK, United States",403505
"Tultepec, Mexico",65338
"Turlock, CA, United States",72292
"Tuscaloosa, AL, United States",98332
"Tustin, CA, United States",80583
"Tuxtepec, Mexico",101810
"Tuxtla, Mexico",537102
"Tyler, TX, United States",103700
"Union City, CA, United States",74494
"Union City, NJ, United States",69156
"Upland, CA, United States",76443
"Uruapan, Mexico",264439
"Utica, NY, United States",61100
"Vacaville, CA, United States",96803
"Valencia, CA, United States",148456
"Valle de Santiago, Mexico",68058
"Vallejo, CA, United States",121253
"Vancouver, BC, Canada",600000
"Vancouver, WA, United States",172860
"Vaughan, ON, Canada",238866
"Ventura, CA, United States",96769
"Veracruz, Mexico",428323
"Victoria de Durango, Mexico",518709
"Victoria, BC, Canada",289625
"Victoria, TX, United States",67574
"Victorville, CA, United States",122225
"Villa Vicente Guerrero, Mexico",60001
"Villahermosa, Mexico",353577
"Vineland, NJ, United States",60818
"Virginia Beach, VA, United States",452745
"Visalia, CA, United States",130104
"Vista, CA, United States",100890
"Waco, TX, United States",132356
"Waldorf, MD, United States",67752
"Walnut Creek, CA, United States",68910
"Waltham, MA, United States",63378
"Warner Robins, GA, United States",73490
"Warren, MI, United States",134056
"Warwick, RI, United States",81699
"Washington Heights, NY, United States",152613
"Washington, D.C., DC, United States",601723
"Washington, DC, United States",601723
"Waterbury, CT, United States",108802
"Waterford, MI, United States",75737
"Waterloo, IA, United States",68460
"Waterloo, ON, Canada",97475
"Waukegan, IL, United States",88475
"Waukesha, WI, United States",71970
"Wellington, FL, United States",62560
"West Albany, NY, United States",93794
"West Allis, WI, United States",60620
"West Bloomfield Township, MI, United States",64690
"West Coon Rapids, MN, United States",62528
"West Covina, CA, United States",108484
"West Des Moines, IA, United States",64113
"West Gulfport, MS, United States",71329
"West Hartford, CT, United States",63268
"West Jordan, UT, United States",111946
"West Lynchburg, VA, United States",65517
"West Palm Beach, FL, United States",106779
"West Valley City, UT, United States",136208
"Westland, MI, United States",82000
"Westminster, CA, United States",92114
"Westminster, CO, United States",113130
"Weston, FL, United States",69959
"White Rock, BC, Canada",66450
"Whittier, CA, United States",87438
"Wichita Falls, TX, United States",104710
"Wichita, KS, United States",389965
"Willowdale, ON, Canada",79440
"Wilmington, DE, United States",71948
"Wilmington, NC, United States",115933
"Windsor, ON, Canada",278013
"Winnipeg, MB, Canada",632063
"Winston-Salem, NC, United States",241218
"Woodbury, MN, United States",67855
"Worcester, MA, United States",184815
"Wyoming, MI, United States",75275
"Xalapa de Enríquez, Mexico",424755
"Xico, Mexico",356352
"Xochimilco, Mexico",407885
"Yakima, WA, United States",93701
"Yonkers, NY, United States",201116
"Yorba Linda, CA, United States",67973
"Youngstown, OH, United States",64628
"Yuba City, CA, United States",66941
"Yuma, AZ, United States",94139
"Zacatecas, Mexico",129011
"Zamora, Mexico",141627
"Zapopan, Mexico",1142483
